match_date,group,team,opponent,player,position,minutes,goals,assists,shots,xg,xa,key_passes,rating,big_chances,source,source_url,quality_flag
2026-06-14,B,Qatar,Switzerland,Assim MADIBO,MF,79,0,0,,,,0,6.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Issa LAYE,DF,90,0,0,1,0.08,,0,6.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Edmílson JUNIOR,FW,88,0,0,2,0.39,,0,6.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Yusuf ABDURISAG,FW,60,0,0,,,,1,6.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Akram AFIF,FW,90,0,0,,,0.21,2,6.9,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Ahmed FATHI,MF,30,0,0,,,0.01,1,6.9,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Karim BOUDIAF,MF,30,0,0,1,0.02,,0,6.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Qatar,Switzerland,Ahmed ALAAELDIN,FW,30,0,0,1,0.11,,0,6.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Switzerland,Qatar,Gregor KOBEL,GK,90,0,0,,,,,7.5,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Switzerland,Qatar,Denis ZAKARIA,MF,90,0,0,2,0.27,0.15,0,7.5,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Switzerland,Qatar,Nico ELVEDI,DF,90,0,0,2,0.31,0.06,1,7.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Switzerland,Qatar,Manuel AKANJI,DF,90,0,0,1,0.27,0.15,2,7.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Switzerland,Qatar,Ricardo RODRÍGUEZ,DF,89,0,0,,,0.58,2,7.8,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
2026-06-14,B,Switzerland,Qatar,Michel AEBISCHER,MF,65,0,0,1,0.24,0.51,3,7.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/qatar-vs-switzerland/1beswv,ok
