matchNumStr,matchKey,matchDate,homeTeam,awayTeam,homeTeamEn,awayTeamEn,homeTeamCode,awayTeamCode,homeTeamOddsName,awayTeamOddsName,score,code,sp
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,1:4,s01s04,900.0
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,1:5,s01s05,1000
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,2:0,s02s00,6.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,2:1,s02s01,12.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,2:2,s02s02,40.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,2:3,s02s03,200.0
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,2:4,s02s04,700.0
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,2:5,s02s05,1000
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,3:0,s03s00,5.25
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,3:1,s03s01,10.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,3:2,s03s02,50.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,3:3,s03s03,200.0
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,4:0,s04s00,6.50
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,4:1,s04s01,13.00
